Date,Close,High,Low,Open,Volume,Return,SMA_10,SMA_20,RSI,MACD,MACD_signal,Lag_1,Lag_2,Lag_3,Target
2021-08-05,971.1094360351562,980.4598768953389,957.4590392491626,962.0318984025092,21252078,0.014497857368256373,944.6823120117188,948.7796936035156,57.2712022575364,-3.0907854432109616,-5.5979347753238,957.2316284179688,949.9512939453124,943.012451171875,0
2021-08-06,950.5428466796876,976.8880266163,945.856192777068,969.1528000617284,16620987,-0.02117844662228585,943.9247131347656,948.6989288330078,48.998482490907826,-2.8305991040051595,-5.044467641060073,971.1094360351562,957.2316284179688,949.9512939453124,0
2021-08-09,945.128173828125,950.8841149123823,940.2822912594686,946.8799898333924,7494143,-0.005696400609900398,943.9383605957031,948.8342926025391,47.07070312487244,-3.026431583054091,-4.6408604294588764,950.5428466796876,971.1094360351562,957.2316284179688,1
2021-08-10,950.0877685546876,961.4403616289129,943.5811181110124,947.3349664779624,11919198,0.005247536645187845,945.4421691894531,948.9241516113282,49.04809951064633,-2.7497351530325886,-4.26263537417362,945.128173828125,950.5428466796876,971.1094360351562,1
2021-08-11,963.39697265625,964.6254885296094,947.9720727670094,954.1374592617028,9184963,0.01400839432109402,949.0799926757812,949.3245635986328,54.01313125613264,-1.4399112963039897,-3.698090558599694,950.0877685546876,945.128173828125,950.5428466796876,0
2021-08-12,960.3029174804688,967.4466034758628,957.800331624984,966.8550623942888,8137612,-0.003211609817758143,951.6849426269531,949.8819549560546,52.72679743696697,-0.6441059946979522,-3.087293645819346,963.39697265625,950.0877685546876,945.128173828125,1
2021-08-13,976.2965087890624,978.2303606065249,959.5975996548036,963.3969420853272,12780901,0.016654735727092973,956.7059997558594,951.3220642089843,58.26036934591064,1.262570468439094,-2.217320822967658,960.3029174804688,963.39697265625,950.0877685546876,1
2021-08-16,988.9685668945312,1002.3914332731313,968.3337742680684,977.980045315504,21935444,0.012979722852011877,961.301611328125,952.712124633789,62.05072419848997,3.7528934668494003,-1.0232779650042463,976.2965087890624,960.3029174804688,963.39697265625,0
2021-08-17,984.759765625,994.2922421974579,977.2975624086582,986.8528461084586,12658169,-0.0042557482719064454,964.7824584960938,954.1977355957031,60.09866910461595,5.3254883818027565,0.24647530435715426,988.9685668945312,976.2965087890624,960.3029174804688,1
2021-08-18,988.5819091796876,995.0203194571639,979.4589373887336,989.1961972236584,10075860,0.0038812954063591754,967.9174865722656,955.9916259765625,61.28965206837355,6.801789429142218,1.5575381293141672,984.759765625,988.9685668945312,976.2965087890624,0
2021-08-20,977.4795532226562,988.2860390419917,972.3606471777292,975.090702319037,9426282,-0.011230587828826355,968.5544982910156,956.6184051513671,56.05568850609429,6.995264253942651,2.645083354239864,988.5819091796876,984.759765625,988.9685668945312,1
2021-08-23,983.895263671875,989.1961455676026,970.2221199980744,989.1961455676026,9854395,0.006563523940799287,971.8897399902344,957.9072265625,58.27323408899432,7.578923548479565,3.6318513930878047,977.4795532226562,988.5819091796876,984.759765625,1
2021-08-24,993.6098022460938,997.3863978639248,980.8239096504692,985.123805492856,11864472,0.009873549485302169,976.7379028320313,960.3381317138671,61.445753015115756,8.724785918513248,4.650438298172894,983.895263671875,977.4795532226562,988.5819091796876,1
2021-08-25,1002.20947265625,1010.1267354530132,991.9717199859176,994.383318017174,13380559,0.008654977427473343,981.9500732421875,963.6961212158203,64.05140119812212,10.209127170848433,5.762176072708002,993.6098022460938,983.895263671875,977.4795532226562,1
2021-08-26,1014.8815307617188,1021.4564824929126,1003.3014677332652,1004.666525440298,18589616,0.012644121265270813,987.0985290527344,968.0892608642578,67.53341286358062,12.266605696950592,7.06306199755652,1002.20947265625,993.6098022460938,983.895263671875,0
2021-08-27,1013.4937744140624,1020.4782919319844,1008.3294342208058,1017.8619111430866,10480636,-0.0013674072348275335,992.4176147460937,972.0512786865235,66.7706585637791,13.628095708790738,8.376068739803365,1014.8815307617188,1002.20947265625,993.6098022460938,1
2021-08-30,1032.990966796875,1035.5391065503322,1017.7708505413505,1023.7770080256,14027062,0.019237604487590154,998.087060546875,977.3965301513672,71.620373198368,16.094815814601702,9.919818154763034,1013.4937744140624,1014.8815307617188,1002.20947265625,0
2021-08-31,1027.4854736328125,1039.1337183154053,1020.2507393885752,1036.016904489164,26485463,-0.0053296624472274345,1001.9387512207031,981.6201812744141,68.57682181258123,17.404829937809154,11.416820511372258,1032.990966796875,1013.4937744140624,1014.8815307617188,1
2021-09-01,1031.5576171875,1043.296968181422,1029.6921267178896,1034.242238504605,11145486,0.003963212774473535,1006.6185363769531,985.7004974365234,69.60566283204034,18.557691999524536,12.844994809002714,1027.4854736328125,1032.990966796875,1013.4937744140624,1
2021-09-02,1043.9796142578125,1050.0767599227504,1026.052128476792,1026.052128476792,9956770,0.012041980848515932,1012.1583068847656,990.0378967285156,72.55739239434004,20.2403763782778,14.324071122857731,1031.5576171875,1027.4854736328125,1032.990966796875,1
